,item,price
90,ارز الوليمة مزة بسمتي 5 كيلو, SR 39.00 ريال 
91,ارز بابكر مزة كيس 40 كيلو, SR 255.00 ريال 
92,ارز صنوايت 2 كيلو, SR 14.95 ريال 
93,ارز باب الهند بنجابي 10 كيلو, SR 82.95 ريال 
94,ارز المهيدب بنجابي 20 كيلو, SR 175.00 ريال 
95,شوربة هالي شوفان ابيض 400جرام, SR 3.95 ريال 
96,بسكويت شاي هالي سادة 12* 100 جم, SR 8.95 ريال 
97,قشطة هالي 170جرام, SR 2.50 ريال 
98,نشاء هالي ذرة 400 جرام, SR 3.25 ريال 
99,معجون طماطم فيكتو 8* 135جم, SR 5.95 ريال 
