item,price
ارز جرين فارمز مصري 5 كيلو,SR 25.95 ريال
ارز وايت سوان مصري 5 كيلو,SR 25.95 ريال
ارز وايت سوان كالروز مصري 2 كيلو,SR 12.35 ريال
ارز مالجروسا تايلندي 5 كيلو,SR 36.95 ريال
ارز زاد الوطن مزة 5 كيلو,SR 26.20 ريال
مكرونة بيتوني #139 500 جرام,SR 7.50 ريال
ارز كوهينور بسمتي هندي 2 كيلو,SR 21.95 ريال
مكرونة ابوفهد 2 كيلو,SR 10.45 ريال
مكرونة ابوفهد ريجاتوني 2 كيلو,SR 10.50 ريال
ارز الوليمة ستايل مزة 2 كيلو,SR 18.95 ريال
شعيرية زدني دجاج 70ج,SR 1.00 ريال
مكرونة قودي سباغتي #21 450جرام,SR 4.15 ريال
مكرونةالعلالي 450جرام,SR 4.15 ريال
مكرونة العلالي 450جرام,SR 4.15 ريال
ارز المهيدب بنجابي 10 كيلو,SR 83.95 ريال
ارز الوليمة مزة كيس 40 كيلو,SR 289.00 ريال
ارز الوليمة مزة بسمتي 10 كيلو,SR 76.95 ريال
ارز الوليمة مزة بسمتي 5 كيلو,SR 39.00 ريال
ارز بابكر مزة كيس 40 كيلو,SR 255.00 ريال
مكرونة قودي #10 500 جرام,SR 4.15 ريال
ارز صنوايت 2 كيلو,SR 14.95 ريال
ارز باب الهند بنجابي 10 كيلو,SR 82.95 ريال
ارز المهيدب بنجابي بني 2 كيلو,SR 29.95 ريال
ارز ابو بنت ذهبي 5 كيلو,SR 30.95 ريال
ارز ابو بنتين 5 كيلو,SR 29.35 ريال
ارز ابوبنتين 2 كيلو,SR 14.18 ريال
ارز بوندي مزة هندي 5 كيلو,SR 34.95 ريال
ارز العثيم بسمتي 5 كيلو,SR 37.75 ريال
ارز العثيم بسمتي 10 كيلو,SR 56.95 ريال
ارز باب القصر بسمتي ابيض 5 كيلو,SR 30.40 ريال
ارز كوهينور بسمتي هندي 5 كيلو,SR 55.60 ريال
ارز كوهينور بسمتي هندي 10 كيلو,SR 110.20 ريال
ارز تلدا بسمتي 2 كيلو,SR 33.08 ريال
ارز تلدا بسمتي 10 كيلو,SR 130.95 ريال
ارز المهيدب بنجابي 20 كيلو,SR 175.00 ريال
ارز المهيدب بنجابي جار 2 كيلو,SR 22.95 ريال
ارز باب الهند بنجابي 5 كيلو,SR 45.95 ريال
ارز باب الهند بنجابي 40 كيلو,SR 322.35 ريال
ارز العائلة بسمتي ابيض 5 كيلو,SR 44.95 ريال
ارز العائلة بسمتي ابيض 10 كيلو,SR 79.95 ريال
ارز الشعلان مزة بسمتي 10ك,SR 68.95 ريال
ارز الوسام بسمتي 5 كيلو,SR 40.95 ريال
ارز الوسام بسمتي 10 كيلو,SR 79.95 ريال
ارز زاد الوطن مزة 10 كيلو,SR 49.30 ريال
ارز بوندي مزة هندي 40 كيلو,SR 299.25 ريال
ارز المضياف عنبر باكستاني 10 كيلو,SR 62.95 ريال
ارز ابو بنتين 10 كيلو,SR 47.50 ريال
ارز مالجروسا تايلندي 10 كيلو,SR 66.95 ريال
اعواد صينية مكاتي نودلز 200 جرام,SR 6.25 ريال
ارز الشعلان مزة بسمتي 5 كيلو,SR 34.95 ريال
شعيرية هالي نكهة دجاج  70  x 40جرام,SR 0.79 ريال
ارز زاد الوطن مزة 40كيلو,SR 194.20 ريال
مكرونة هالي ريقيتي 400جرام #104,SR 2.37 ريال
ارز أبو كاس مزة بسمتي 5 كيلو,SR 34.95 ريال
شعيرية قودي مقطع 500 جرام,SR 4.15 ريال
شعيرية زدني مقلية 70ج,SR 0.95 ريال
ارز الشعلان بسمتي مزة 20كيلو,SR 133.95 ريال
مكرونة فرشلي جامبو شيلز 340جرام,SR 13.95 ريال
ارز هالي كالروز مصري 5كيلو,SR 28.30 ريال
مكرونة العلالي #45 450جرام,SR 4.15 ريال
مكرونة العلالي #80 450جرام,SR 4.15 ريال
ارز جرين فارمز كرنل ابيض 10كيلو,SR 59.95 ريال
ارز جرين فارمز كرنل ابيض 5كيلو,SR 31.95 ريال
ارز ملك الارز بسمتي مزة 10كيلو,SR 70.88 ريال
شعيرية الوفرة 250 جرام,SR 1.95 ريال
شعيرية العلالي 250 جرام,SR 4.15 ريال
شعيرية العلالي 400 جرام,SR 5.20 ريال
مكرونة قودي #14 500 جرام,SR 4.15 ريال
مكرونة قودي #18 500 جرام,SR 4.15 ريال
مكرونة قودي #19 500 جرام,SR 4.15 ريال
شعيرية قودي 250 جرام,SR 4.15 ريال
شعيرية اندومي كاري دجاج 75 جرام,SR 1.32 ريال
شعيرية اندومي مقلية 80 جرام,SR 1.50 ريال
شعيرية اندومي دجاج خاص 75 جرام,SR 1.32 ريال
شعيرية اندومي خضار 75 جرام,SR 1.32 ريال
مكرونة قودي #11 500 جرام,SR 4.15 ريال
شعيرية اندومي دجاج كوب 55 جرام,SR 2.37 ريال
شعيرية اندومي لحم بقر كوب 55 جرام,SR 2.37 ريال
مكرونة قودي حروف #30 500 جرام,SR 3.95 ريال
شعيرية لاما دجاج كوب 65 جرام,SR 2.63 ريال
شعيرية اندومي مقلية 60×80 جرام,SR 68.95 ريال
شعيرية اندومي خضار 60×75 جرام,SR 64.05 ريال
شعيرية هالي نكهة خضار 70 جرام,SR 0.79 ريال
شعيرية هالي نكهة كاري دجاج 70 جرام,SR 0.79 ريال
شعيرية اندومي خضار كوب 60 جرام,SR 2.37 ريال
شعيرية اندومي نكهة كاري كوب60 جرام,SR 2.37 ريال
شعيرية مكاتي الارز 454 جرام,SR 8.95 ريال
مكرونة بيرفيتو #210 500 جرام,SR 4.95 ريال
مكرونة بيرفيتو 500 جرام,SR 4.95 ريال
شعيرية بيرفيتو 250 جرام,SR 4.95 ريال
شعيرية اندومي مقلية خاصة 90 جرام,SR 2.05 ريال
شعيرية اندومي دجاج 70 جرام,SR 1.32 ريال
شعيرية تويا كاري دجاج 82 جرام,SR 1.32 ريال
شعيرية اندومي كاسات طماطم 60 جرام,SR 2.25 ريال
شعيرية بيتونى مقطعة 500 جرام,SR 7.30 ريال
شعيرية لاما اكلات بحرية كوب 65 جرام,SR 2.63 ريال
شعيرية لاما كوب حار 65 جرام,SR 2.63 ريال
مكرونة قودي لازانيا 500 جرام,SR 10.95 ريال
ارز هالي سيلا بسمتي 10كيلو,SR 65.05 ريال
شعيرية هالي باكستانية 150جرام,SR 1.75 ريال
شعيرية هالي مقلية 70جرام,SR 0.79 ريال
مكرونة هالي موسيل 400جرام #111,SR 2.37 ريال
ارز هالي برمل 40 كيلو,SR 126.00 ريال
ارز هالي برمل مزة 10ك,SR 33.60 ريال
مكرونة هالي 400 جرام,SR 2.37 ريال
مكرونة العلالي سباغتي #5 400ج,SR 4.15 ريال
ارز المضياف عنبر باكستاني 5ك,SR 33.95 ريال
مكرونة الوفرة #19 400جرام,SR 1.95 ريال
سمن قودي نباتي 1.36 كيلو,SR 18.95 ريال
سمن المراعي 800 جرام,SR 29.95 ريال
زيت شهية ذرة 1.8لتر,SR 18.50 ريال
زيت عافية ذرة 0.75لتر,SR 10.45 ريال
زيت لايت لايف ذرة 1.8لتر,SR 17.95 ريال
سمن البقرة استرالي 400 جرام,SR 22.50 ريال
سمن ديلكو شوكة وملعقة 450جرام,SR 8.95 ريال
زيت مازولا بلاستيك 1.8لتر,SR 18.95 ريال
زيت شمس دوار شمس 1.5لتر,SR 14.95 ريال
زيت ابو زهرة دوار شمس 1.8لتر,SR 12.95 ريال
زيت عافية دوار شمس 1.8لتر,SR 16.95 ريال
زيت هالي للطبخ 1.8لتر,SR 12.95 ريال
زيت مازولا بلاستيك 3.5ل,SR 29.95 ريال
سمن المراعي 1600جرام,SR 75.50 ريال
زيت دلال بلاستيك 1.8لتر,SR 12.55 ريال
زيت هالي نباتي علب 1.8لتر,SR 10.50 ريال
زيت العربي  للقلي 1.5لتر,SR 14.95 ريال
زيت العربي نباتي بلاستيك 2.9لتر,SR 24.50 ريال
زيت هالي نباتي 1.8لتر,SR 8.25 ريال
زيت حياة نباتي بلاستيك 1.8لتر,SR 7.90 ريال
زيت هالة بلاستيك 1.8لتر,SR 13.60 ريال
زيت فيكتو للطبخ والقلي 1.8لتر,SR 11.95 ريال
سمن مازولا نباتي نكهة زبدة 500 جرام,SR 11.50 ريال
زيت صني دوار شمس 1.5لتر,SR 10.95 ريال
سمن فارم 1600 جرام,SR 71.15 ريال
زيت زيتون هالي 250مل,SR 8.95 ريال
زيت عافية ذرة 3.5لتر,SR 34.95 ريال
سمن ديلكو شوكة وملعقة 2 كيلو,SR 24.95 ريال
زيت هالي دوار الشمس 2×1.8لتر,SR 26.95 ريال
زيت زيتون هالي زجاج 500مل,SR 10.50 ريال
زيت زيتون فيكتو بكر زجاج 500مل,SR 15.95 ريال
"زيت ابو فهد طبخ وقلي 2,4لتر",SR 15.50 ريال
زيت زيتون فيكتو بكر زجاج 250مل,SR 6.75 ريال
زيت فلوريال دوار الشمس 1.8لتر,SR 14.95 ريال
زيت نور دوار الشمس 2×1.8 لتر,SR 32.95 ريال
سمن فارم 400 جرام,SR 19.90 ريال
سمن المراعي 400 جرام,SR 21.90 ريال
زيت زيتون اليسا بكر زجاج 500مل,SR 17.45 ريال
زيت زيتون الجوف 500مل,SR 21.95 ريال
زيت زيتون السوسن زجاج 500مل,SR 9.95 ريال
زيت زيتون الجوف زجاج 750مل,SR 31.95 ريال
سمن ديلكو شوكة وملعقة 900 جرام,SR 13.50 ريال
سمن مازولا زبدة نباتي 1لتر,SR 17.59 ريال
سمن نجدية 700جرام,SR 24.95 ريال
زيت زيتون ار اس زجاج 500مل,SR 12.50 ريال
سمن مازولا نباتي زبدة 2لتر,SR 31.00 ريال
زيت زيتون الوزير زجاج 500مل,SR 17.80 ريال
زيت زيتون ساسو علب 175مل,SR 7.95 ريال
زيت زيتون ساسو علب 400مل,SR 16.25 ريال
زيت زيتون ار اف بكر زجاج 500مل,SR 17.45 ريال
زيت زيتون ار اف بكر 2لتر,SR 53.20 ريال
زيت زيتون الجوف زجاج 250مل,SR 12.95 ريال
زيت زيتون السوسن زجاج 250مل,SR 6.95 ريال
زيت زيتون كوبوليفا زجاج 250مل,SR 8.50 ريال
زيت زيتون كوبوليفا زجاج 500مل,SR 14.95 ريال
زيت هالي نباتي علب 16لتر,SR 69.95 ريال
"زيت عافية ذرة 1,8لتر",SR 19.95 ريال
"زيت هالي ذرة 1,8لتر",SR 17.50 ريال
زيت ليزا للطبخ 1.8لتر,SR 13.95 ريال
زيت مازولا ذرة 5لتر,SR 47.95 ريال
زيت لايت لايف نباتي 1.8 لتر,SR 8.25 ريال
زيت نخلتين نباتي بلاستيك 1.8لتر,SR 9.50 ريال
زيت سمسم اورجانيكس زجاج 250مل,SR 9.98 ريال
زيت زيتون السوسن بكر علب 2لتر,SR 41.95 ريال
زيت زيتون السوسن بكر زجاج750مل,SR 16.95 ريال
زيت زيتون الوزير ممتاز 500مل,SR 18.65 ريال
زيت زيتون رحمة زجاج 250مل,SR 10.45 ريال
زيت زيتون السوسن بكر علب 400مل,SR 16.30 ريال
زيت زيتون السوسن بكر علب 800مل,SR 20.95 ريال
زيت زيتون رحمةزجاج 750مل,SR 24.50 ريال
زيت زيتون رحمة صافي 500مل,SR 15.70 ريال
زيت لايت لايف دوار الشمس 1.8لتر,SR 12.50 ريال
زيت لايت لايف 1.8x2 لتر,SR 24.00 ريال
زيت نور دوار الشمس 1.8لتر,SR 16.95 ريال
خلطة ماجي البشاميل 80جرام,SR 5.95 ريال
شوربة ياشاك دجاج مع شعيرية 60 جرام,SR 2.37 ريال
شوربة باشاك كريمة فطر 60جرام,SR 2.37 ريال
شوربة كنور كريمة دجاج 54جرام,SR 3.94 ريال
شوربة باشاك كريمة بركولي 60جرام,SR 2.37 ريال
خلطة ماجي شاورما دجاج 40جرام,SR 5.95 ريال
خلطة ماجي دجاج توابل حارة 34جرام,SR 4.50 ريال
خلطة ماجي دجاج كزبرة وثوم 34جرام,SR 4.50 ريال
شوربة زدني شوفان 500جرام,SR 6.25 ريال
شوربة هيرمان شوفان 500جرام,SR 1.95 ريال
شوربة باشاك عدس باطماطم 75جرام,SR 2.37 ريال
شوربة باشاك كريمة طماطم 65جرام,SR 2.37 ريال
شوربة باشاك كريمة خضار 65جرام,SR 2.37 ريال
شوربة هالي شوفان ابيض 400جرام,SR 3.95 ريال
شوربة كنور كريمة فطر 53جرام,SR 3.94 ريال
شوربة كنور خضار 47جرام,SR 3.75 ريال
خلطة البشاميل باشاك 80جرام,SR 3.10 ريال
شوربة كويكر شوفان ابيض 500جرام,SR 9.40 ريال
خلطة كنور للبروست 80جرام,SR 5.52 ريال
خلطة كنور بهارات للكفتة 80جرام,SR 4.95 ريال
شوربة باشاك عدس 70جرام,SR 2.37 ريال
جبن المراعي كاسات طعم قشطة140جرام,SR 5.00 ريال
جبن بوك بيضاء كاسات 910جرام,SR 26.90 ريال
جبن المراعي كاسات طعم القشطة ٥٠٠جم,SR 15.70 ريال
جبن كرافت بيضاء كاسات 500جرام,SR 16.28 ريال
جبن كرافت بيضاء كاسات 910جرام,SR 26.20 ريال
جبن المراعي كاسات طعم القشطة 900جرام,SR 24.95 ريال
جبن نادك كاسات 500جرام,SR 14.65 ريال
جبن نادك كاسات 240جرام,SR 8.40 ريال
جبن المراعي بالزيت النباتي240جرام,SR 8.25 ريال
جبن بوك بيضاء كاسات 1100جرام,SR 28.25 ريال
جبن المراعي قليل كالسترول 500جرام,SR 15.75 ريال
جبن نادك كريم كاسات 910جرام,SR 24.10 ريال
جبن المراعي كاسات طعم قشطة240جرام,SR 8.00 ريال
جبن كرافت كاسات عملاق 680 جرام,SR 20.95 ريال
جبن كرافت كاسات 140جرام,SR 6.25 ريال
جبن بوك بيضاء كاسات 140جرام,SR 5.20 ريال
جبن بوك بيضاء كاسات 500جرام,SR 15.85 ريال
جبن بوك بيضاء كاسات 690جرام,SR 20.95 ريال
جبن المراعي شيدر كاسات 140جرام,SR 5.00 ريال
جبن المراعي شيدر كاسات 240جرام,SR 8.00 ريال
جبن المراعي شيدر كاسات 500جرام,SR 14.70 ريال
جبن المراعي شيدر كاسات 900جرام,SR 23.75 ريال
جبن بوك كاسات شيدر 140جرام,SR 5.25 ريال
جبن بوك كاسات شيدر 240جرام,SR 8.35 ريال
جبن بوك كاسات شيدر 910جرام,SR 26.90 ريال
جبن بوك طعم شيدر كاسات 1100جرام,SR 30.40 ريال
جبن نادك كاسات شيدر 240جرام,SR 7.35 ريال
جبن نادك كاسات شيدر 500جرام,SR 13.60 ريال
جبن السعودية طعم الشيدر 240جرام,SR 7.95 ريال
جبن كرافت اصلية سكويز 440جرام,SR 14.95 ريال
جبن كرافت اصلية كاسات 500جرام,SR 16.75 ريال
جبن كرافت اصلية كاسات 240جرام,SR 9.40 ريال
جبن نادك شيدر كاسات 910جرام,SR 23.05 ريال
جبن المراعي شيدر علب 113جرام,SR 5.00 ريال
جبن المراعي شيدر علب 56جرام,SR 3.50 ريال
جبن المراعي شيدر علب 200جرام,SR 5.75 ريال
جبن السعودية شيدر علب 113جرام,SR 4.50 ريال
جبن كرافت شيدر علب 4×113جرام,SR 19.50 ريال
جبن بوك مثلث 8ح 120ج,SR 2.63 ريال
جبن كرافت شيدر بلوك 250جرام,SR 12.70 ريال
جبن برايد شيدر 1800جرام,SR 52.00 ريال
جبن المراعي شيدر كلاسيك 454جرام,SR 16.75 ريال
جبن كرافت شيدر بلوك 500جرام,SR 24.85 ريال
جبن لونا شيدر بلوك 8.1كيلو,SR 29.95 ريال
جبن برايد شيدر 500جرام,SR 18.95 ريال
جبن برايد شيدر بلوك قليل الدسم 500جرام,SR 20.95 ريال
جبن كرافت سنجل شيدر شرائح 432ج,SR 22.00 ريال
جبن بوك موزاريلا مبشور 500ج,SR 18.95 ريال
جبن برايد شرائح برجر 400جرام,SR 11.95 ريال
جبن المراعي سندوتش شرائح 10 حبه,SR 6.30 ريال
جبن المراعي برجر شرائح 24حبه,SR 14.95 ريال
جبن برايد فانسي شرائح 250جرام,SR 10.45 ريال
جبن برايد فانسي شرائح 500جرام,SR 19.50 ريال
جبن برايد شرائح سندوتش 400جرام,SR 11.95 ريال
جبن بريزيدن شرائح سندوتش 200جرام,SR 8.50 ريال
جبن بريزيدن شرائح برجر 200جرام,SR 8.50 ريال
جبن بريزيدن شرائح توست 200جرام,SR 8.50 ريال
جبن بريزيدن شرائح لايت 200جرام,SR 7.50 ريال
جبن بريزيدن شرائح موزاريلا 200جرام,SR 8.50 ريال
جبن بريزيدن شرائح برجر 400جرام,SR 15.95 ريال
جبن بريزيدن شرائح سندوتش 400جرام,SR 15.95 ريال
جبن المراعي شيدر قليل الدسم 454جرام,SR 17.80 ريال
جبن نادك شرائح برجر 24حبه,SR 16.50 ريال
جبن نادك شرائح توست 10حبه,SR 6.30 ريال
جبن نادك شرائح سندوتش 10حبه,SR 6.30 ريال
جبن المراعي شرائح 200جرام,SR 7.88 ريال
جبن المراعي شرائح قليل الدسم 500جرام,SR 15.70 ريال
جبن هالي موزاريلا مبشورة 500ج,SR 7.50 ريال
جبن كيري 108 جم,SR 4.73 ريال
جبن كرافت شيدر شرائح سنجل 216ج,SR 11.50 ريال
جبن البقرة الضاحكة مثلث 8ح 120 جم,SR 3.28 ريال
جبن بوك بيضاء كاسات 240ج,SR 8.35 ريال
جبن نادك كريم كاسات 2×910ج,SR 38.50 ريال
زبدة المراعي مملحة 200جرام,SR 8.00 ريال
جبن المراعي شيدار شرائح24حبه 500جرام,SR 14.95 ريال
جبن هالي موزاريلا مبشورة 500جرام,SR 14.95 ريال
جبن برايد زيرو دسم شرائح 200جرام,SR 10.95 ريال
قشطة لونا بالعسل 155جرام,SR 3.68 ريال
جبن هالي كريم كاسات 240جرام,SR 6.95 ريال
جبن بريزيدن مثلث 24حبه 360جرام,SR 10.50 ريال
جبن برايد شرائح 0% دسم 400جرام,SR 19.95 ريال
زبدة لورباك غير مملحة100حبه × 10جرام,SR 37.50 ريال
جبن كرافت موزا تشدر 106جرام,SR 5.50 ريال
جبن بوك برجر شرائح قد 10حبه 200جرام,SR 7.09 ريال
قشطة فيكتو 170 جرام,SR 2.89 ريال
جبن فرسان شيدر بلوك 1كيلو,SR 33.95 ريال
جبن نادك بيضاء فيتا 200جرام,SR 5.20 ريال
جبن كيري الشيف قالب 1كيلو,SR 38.95 ريال
جبن المراعي برجر شرائح 10حبه 200جرام,SR 6.30 ريال
زبدة المراعي غير مملحة 100×10جرام,SR 43.05 ريال
جبن كرافت شرائح اكسترا 336جرام,SR 14.95 ريال
زبدة لورباك غير مملحة 100جرام,SR 5.25 ريال
جبن كرافت شرائح سينغلز قد 216جرام,SR 11.50 ريال
جبن فيكتوريا حلوم قد 250جرام,SR 12.55 ريال
جبن نادك فيتا ملح قليل 200جرام,SR 5.78 ريال
جبن بوك برجر شرائح عادي10حبه 200جرام,SR 5.78 ريال
جبن بوك برجر شرائح شيدر10حبه 200جرام,SR 5.78 ريال
جبن كرافت شرائح سينغلز قد 432جرام,SR 20.74 ريال
جبن بريزيدن مثلث 8حبه,SR 4.15 ريال
جبن البقرة الضاحكة مثلث 32حبه,SR 13.60 ريال
جبن بريزيدن مثلث لايت 8حبه,SR 5.50 ريال
جبن المراعي فيتامينات مثلث120جرام,SR 2.75 ريال
جبن المراعي فيتامينات مثلث240جرام,SR 5.25 ريال
جبن المراعي فيتامينات مثلث360جرام,SR 7.95 ريال
جبن المراعي مثلث فيتامينات480جرام,SR 8.50 ريال
جبن البقرةالضاحكة بالزيتون120جرام,SR 3.95 ريال
جبن البقرةالضاحكة مثلث16حبه 240جرام,SR 7.30 ريال
جبن البقرةالضاحكة مثلث24حبة 360جرام,SR 10.95 ريال
جبن بريزيدن مثلث 2×240جرام,SR 13.95 ريال
جبن بريزيدن مثلث طرية16حبه 240جرام,SR 6.95 ريال
جبن ابو ولد مثلث 16حبه 240جرام,SR 6.25 ريال
جبن ابو ولد مثلث 8حبه 120جرام,SR 3.15 ريال
جبن ابو ولد مثلث 24حبه 360جرام,SR 8.93 ريال
جبن ابو ولد مثلث 32حبه 480جرام,SR 11.50 ريال
جبن كيري 24حبه,SR 16.80 ريال
جبن المراعي بالقشطة مربعات120جرام,SR 4.25 ريال
جبن المراعي بالقشطة مربعات216جرام,SR 8.50 ريال
جبن المراعي بالقشطة مربعات480جرام,SR 15.25 ريال
جبن كيري مربعات 12حبه 216جرام,SR 7.93 ريال
جبن كيري 8حبه 144جرام,SR 5.75 ريال
جبن كيري 18حبه 324جرام,SR 13.39 ريال
جبن فرسان موزاريلا بلوك 1كيلو,SR 39.85 ريال
جبن بوك موزاريلا مبشور 1كيلو,SR 35.95 ريال
جبن المراعي موزاري مبشور 200جرام,SR 10.45 ريال
جبن 3 بقرات موزاريلا بيتزا 1كيلو,SR 33.95 ريال
جبن 3 بقرات مبشور بيتزا 200جرام,SR 8.50 ريال
جبن المراعي موزاريلا مبشور 500جرام,SR 24.10 ريال
جبن فرسانا موزاريلا مبشور 500جرام,SR 26.20 ريال
جبن فرسان موزاريلا مبشور 200جرام,SR 11.03 ريال
جبن المراعي موزاريلا مبشور 1كيلو,SR 39.85 ريال
جبن نادك موزاريلا مبشور 500جرام,SR 24.68 ريال
جبن نادك موزاريلا مبشور 200جرام,SR 9.45 ريال
جبن برايد موزاريلا مبشور 500جرام,SR 17.95 ريال
جبن برايد موزاريلا مبشور 1كيلو,SR 33.95 ريال
جبن بريزيدن موزاريلا بيتزا 200جرام,SR 12.95 ريال
جبن بريزيدن موزاريلا بيتزا 450جرام,SR 26.00 ريال
جبن برايد موزاريلا مبشور 750جرام,SR 38.95 ريال
جبن 3 بقرات موزاريلا بيتزا 500جرام,SR 18.95 ريال
جبن 3 بقرات قشطية اكثر 500جرام,SR 11.55 ريال
جبن 3 بقرات قشطية اكثر 200جرام,SR 5.52 ريال
جبن 3 بقرات فيتا ملح قليل 500جرام,SR 9.50 ريال
جبن 3 بقرات فيتا ملح قليل 200جرام,SR 4.95 ريال
جبن 3 بقرات قليل الدسم 200جرام,SR 5.50 ريال
جبن 3 بقرات قليل الدسم 500جرام,SR 10.50 ريال
جبن نادك فيتا ابيض 450جرام,SR 9.95 ريال
جبن نادك فيتا ملح قليل 450جرام,SR 9.95 ريال
جبن المراعي حلومي 225جرام,SR 14.65 ريال
جبن كريستيس حلومي 200جرام,SR 14.65 ريال
جبن لامبرا حلوم 227جرام,SR 13.50 ريال
جبن فارم لاند حلومي 250جرام,SR 15.70 ريال
جبن فيكتوريا حلوم 250جرام,SR 12.08 ريال
زبدة بريزيدن غير مملحة 100جرام,SR 5.50 ريال
زبدة لورباك غير مملحة 50جرام,SR 3.00 ريال
زبدة المراعي غير مملحة 400جرام,SR 17.85 ريال
زبدة المراعي غير مملحة 200جرام,SR 9.90 ريال
زبدة المراعي غير مملحة 1كيلو,SR 33.60 ريال
جبن المراعي حلومي قليل الدسم 225جرام,SR 15.23 ريال
جبن المراعي شيدر علب قليل الدسم 113جرام,SR 5.75 ريال
جبن نادك شرائح قليل الدسم 10حبه 200جرام,SR 7.88 ريال
جبن بريزيدن شرائح بلا دسم 200جرام,SR 11.50 ريال
جبن برايد شرائح قليل الدسم 10حبه 200جرام,SR 9.95 ريال
جبن برايد شيدر معد قليل الدسم 1كيلو,SR 40.95 ريال
جبن برايد شرائح قليل الدسم 20حبة 400جرام,SR 17.95 ريال
زبدة لورباك مملحة قليلة الدسم,SR 9.40 ريال
زبدة المراعي غير مملحة 100جرام,SR 5.25 ريال
زبدة المراعي غير مملحة60جرام,SR 2.50 ريال
زبدة لورباك غير مملحة 200جرام,SR 9.40 ريال
زبدة لورباك غير مملحة 400جرام,SR 17.80 ريال
زبدة نادك طازجة غير مملحة 1كيلو,SR 39.95 ريال
زبدة نادك غير مملحة 500جرام,SR 20.95 ريال
جبن هالي مثلث 8ح 120ج,SR 2.50 ريال
جبن هالي موزاريلا مبشورة 1 كيلو,SR 34.95 ريال
حليب سفوري قد طويل الأجل 200مل,SR 1.25 ريال
جبن المراعي موزاريلا بلوك 200ج,SR 10.45 ريال
جبن كرافت شيدر علب 200ج,SR 7.88 ريال
جبن بوك موزريلا مبشور 200ج,SR 8.50 ريال
جبن بوك كاسات شيدر 500جرام,SR 15.85 ريال
زبدة لورباك غير مملحة 2×500جرام,SR 41.95 ريال
شاي تويننجز ايرل جراي معطر200جرام,SR 34.60 ريال
شاي الربيع خيط اكسبريس 25حبه,SR 5.50 ريال
شاي جست اميوت خيط 28حبة,SR 1.00 ريال
شاي الكبوس فلة 450جرام,SR 15.75 ريال
شاي الكبوس فلة 225جرام,SR 7.88 ريال
شاي بنتليز فلة وسط 450جرام,SR 11.50 ريال
شاي ربيع علب 300جرام,SR 24.95 ريال
شاي ربيع اكسبرس فلة 200جرام,SR 8.95 ريال
شاي لويد يانن 100جرام,SR 4.50 ريال
شاي لويد مادراس 100جرام,SR 1.00 ريال
شاي ابو جبل اوراق كاملة 400جرام,SR 37.95 ريال
شاي ابو جبل اوراق كاملة 200جرام,SR 20.80 ريال
شاي ربيع اوراق طويلة فاخرة200جرم,SR 12.95 ريال
شاي ربيع أوراق كاملة 1.2 كيلو,SR 47.95 ريال
شاي ربيع اوراق طويلة فاخرة 800جرام,SR 34.00 ريال
شاي مينوتكا اخضر بالاعشاب,SR 3.50 ريال
شاى ليبتون اخضر خوخ ومانجو 15حبه,SR 10.45 ريال
شاي الضيافة ينسون 25حبه,SR 12.55 ريال
مبيض قهوة نستله دايت 450جرام,SR 20.95 ريال
قهوة هرري تركي وسط,SR 45.25 ريال
قهوة هرري غامق عربي,SR 47.00 ريال
قهوة هرري عربي فاتح,SR 47.00 ريال
قهوة نسكافه زجاج 50جرام,SR 10.45 ريال
شاي تويننجز بابونج ونعناع 25حبه,SR 17.95 ريال
قهوة برية عربي غامق,SR 49.50 ريال
قهوة برية عربي وسط,SR 49.50 ريال
شاي تويننجز ازهار البابونج 25جرام,SR 19.90 ريال
شاي تويننجز ايرل جراي 50حبة,SR 16.75 ريال
شاي تويننجز ليمون وزنجبيل 25حبه,SR 18.85 ريال
قهوة هرري تركي فاتح,SR 45.25 ريال
قهوة هرري تركي غامق,SR 45.00 ريال
قهوة برازيلي تركي غامق.,SR 24.95 ريال
قهوة برازيلي وسط تركي,SR 24.95 ريال
قهوة برازيلي فاتح تركي.,SR 24.95 ريال
شاي تويننجز صيني اخضر 100حبة,SR 19.95 ريال
شاي تويننجز صيني اخضر 200حبة,SR 41.95 ريال
شاي تويننجز اخضر خيط 50حبة,SR 18.38 ريال
كركدية الضيافة خيط 50حبة,SR 12.55 ريال
بانونج الضيافة خيط 30جرام,SR 13.13 ريال
مبيض قهوة هنتز 400جرام,SR 15.23 ريال
مبيض قهوة هينز 250جرام,SR 9.72 ريال
قهوة برية عربي فاتح,SR 49.50 ريال
شاي ليبتون فلة 200ج,SR 10.50 ريال
قهوة زدني كلاسيك زجاج 50ج,SR 6.83 ريال
شاي ليبتون خيط 100حبه + 20حبه مجانا,SR 17.50 ريال
شاي ليبتون اخضر خيط 25حبة,SR 7.50 ريال
شاي تويننجز اخضر مع ياسمين 50حبة,SR 18.38 ريال
شاي الضيافة بالنعناع 50جرام,SR 13.13 ريال
شاي ليبتون ايرل غراي خيط 25حبه,SR 5.95 ريال
شاي الضيافة بابونج يانسون 32.50 جرام,SR 13.13 ريال
قهوة هرري عربي وسط,SR 47.00 ريال
قهوة باشنفر هرري 5كيلو,SR 165.00 ريال
شاي الضيافة للرشاقة ٢٠ خيط,SR 26.20 ريال
قهوة الرفاعي فرنسية 250جرام,SR 23.25 ريال
شاي بروك بوند 100حبة,SR 12.95 ريال
شاي الكبوس خيط 100حبة,SR 12.95 ريال
