item,price
زيتون كوبوليفا اخضر محشي 142 جرام,SR 5.52 ريال
زيتون ايديال اسود 250 جرام,SR 8.50 ريال
ورق عنب السوسن محشي بالأرز,SR 27.25 ريال
حمص شتورة بالطحنية 180جرام,SR 2.05 ريال
فول حدائق كاليفورنيا مقشور 450 جرام,SR 5.25 ريال
مشروم قودي قطع ساق 400 جرام,SR 7.30 ريال
فاصوليا لونا بالصلصة علب 400 جرام,SR 3.10 ريال
ذرة العملاق الاخضر حلو علب 340جرام,SR 5.95 ريال
مشروم هالي كامل 400 جرام,SR 5.75 ريال
فاصوليا هالي حمراء 400 جرام,SR 3.25 ريال
فاصوليا هالي بالطماطم 400 جرام,SR 2.75 ريال
حمص هالي حب علب 400 جرام,SR 1.50 ريال
فول هالي مدمس 400 جرام,SR 2.25 ريال
فاصوليا هالي بيضاء 400 جرام,SR 2.25 ريال
ذرة فيكتو علب 400 جرام,SR 4.25 ريال
ذرة فرشلي حب علب 340 جرام,SR 4.73 ريال
ورق عنب حدائق فيكتوريا محشي 850 جرام,SR 17.80 ريال
مشروم العثيم كامل 400 جرام,SR 6.25 ريال
فاصوليا العثيم بالطماطم 400 جرام,SR 2.89 ريال
فول لونا مقشور خلطة سرية 450 جرام,SR 3.68 ريال
فول لونا مدمس خلطة مصرية 450 جرام,SR 3.68 ريال
مشروم العلالي كامل 400 جرام,SR 8.35 ريال
مشروم قودي كامل 400 جرام,SR 9.98 ريال
حمص هالي حب زجاج 370 جرام,SR 3.75 ريال
فاصوليا العثيم حمراء 400 جرام,SR 3.68 ريال
فول حدائق كاليفورنيا مدمس 450 جرام,SR 3.50 ريال
ورق عنب حدائق فيكتوريا محشي 400 جرام,SR 9.98 ريال
تونة ريوماري فاصوليا 160جرام,SR 25.95 ريال
مشروم العلالي مقطع 400 جرام,SR 8.35 ريال
ذرة العلالي مكسيكي 340 جرام,SR 4.99 ريال
فول مدمس العثيم حبة امريكية 400 جرام,SR 2.37 ريال
ذرة هالي حلو حب كامل 340جرام,SR 3.95 ريال
حمص هالي حب زجاج 580ج,SR 4.75 ريال
حمص العثيم حب 400ج,SR 2.63 ريال
فاصوليا العثيم بيضاء 400جرام,SR 2.63 ريال
حمص حدائق شتورة طحينة 380جرام,SR 3.25 ريال
زيتون كوبوليفا اسود شرائح 510 جرام,SR 15.40 ريال
زيتون كوبوليفا اسود شرائح 360 جرام,SR 12.55 ريال
سلاتونه ريوماري خلطه مكسيكيه 160 جرام,SR 13.95 ريال
تونة جنتل بزيت دوار شمس 95 جرام,SR 3.68 ريال
زيتون ايديال اسود 125 جرام,SR 6.50 ريال
تونة جنتل ابيض فاخر 185 جرام,SR 6.50 ريال
تونة جيشا خفيف 100جرام,SR 4.15 ريال
تونة جيشا خفيف 200جرام,SR 6.25 ريال
تونة قودي خفيف 95جرام,SR 4.73 ريال
تونة هالي خفيف 100جرام,SR 3.25 ريال
تونة هالي ابيض 100جرام,SR 4.25 ريال
تونة حدائق كاليفورنيا خفيف 185جرام,SR 5.95 ريال
تونة قودي ابيض 185جرام,SR 9.40 ريال
سردين المواسم بصلصة طماطم 155جرام,SR 2.37 ريال
سلاتونة ريوماري خلطة فاصوليا 2 ×160 جرام,SR 25.95 ريال
تونة حدائق كاليفورنيا ماءوملح 185جرام,SR 7.30 ريال
تونة حدائق كاليفورنيا زيت زيتون185جرام,SR 7.62 ريال
تونة جيشا ابيض 100ج,SR 8.95 ريال
تونة جيشا ابيض 185ج,SR 14.25 ريال
تونة قودي خفيف 185ج,SR 7.60 ريال
تونة ريوماري خفيف 4×80ج,SR 24.95 ريال
لانشون سنيورة بقري 800 جرام,SR 15.95 ريال
لانشون سنيورة حبش 800 جرام,SR 10.95 ريال
زيتون اليسا اخضر 200 جرام,SR 5.52 ريال
زيتون اليسا اخضر شرائح 120جرام,SR 6.25 ريال
زيتون اليسا اخضر محشي 285 جرام,SR 8.67 ريال
زيتون كوبوليفا اخضر شرائح 200 جرام,SR 6.25 ريال
زيتون كوبوليفا اخضر علب 200 جرام,SR 6.25 ريال
زيتون اليسا اخضر شرائح 500 جرام,SR 17.33 ريال
زيتون اليسا اسود شرائح 500 جرام,SR 17.33 ريال
زيتون اليسا اسود شرائح 230 جرام,SR 8.93 ريال
زيتون كوبوليفا اخضر شرائح 510 جرام,SR 15.40 ريال
زيتون اليسا اخضر محشي 550 جرام,SR 22.00 ريال
زيتون كوبوليفا اخضر بلا نوى150 جرام,SR =5.03 ريال
زيتون اليسا اخضر شرائح 230ج,SR 8.93 ريال
اناناس هالي قطع 565ج,SR 4.50 ريال
فواكه مشكلة ليبز 825ج,SR 8.50 ريال
اناناس هالي شرائح 565جرام,SR 4.95 ريال
فواكه مشكلة قودي 425جرام,SR 7.30 ريال
طرشي حدائق شتورة مشكل 3200 جرام,SR 29.93 ريال
شطة رنا حارة 88مل,SR 1.35 ريال
شطة تباسكو الهبنيرو 60مل,SR 15.23 ريال
شطة رنا جالون 4.5 كيلو,SR 22.95 ريال
شطة رنا حارة 474مل,SR 4.50 ريال
شطة بيدر حارة جالون 3 كيلو,SR 14.95 ريال
خل عنب فرشلي بالسميك 500مل,SR 20.95 ريال
جمبري مكاتي مقلي مسوته 340 جرام,SR 8.93 ريال
خردل فرشلي حار ضغاط 340 جرام,SR 6.95 ريال
ورق عنب قودي 454 جرام,SR 23.89 ريال
خل عنب فرشلي بالسميك 250مل,SR 14.65 ريال
خل رنا صناعي 1جالون,SR 12.95 ريال
ورق عنب بيراك 720مل,SR 6.95 ريال
مايونيز مازولا فلفل حار 340مل,SR 10.45 ريال
صلصة طماطم لونا علب 70 جرام,SR 0.79 ريال
كاتشب طماطم العثيم 340 جرام,SR 2.25 ريال
طحينة التاج سائلة 1 كيلو,SR 29.95 ريال
طحينة حلواني سائلة 500 جرام,SR 15.95 ريال
خل قودي تفاح 473مل,SR 4.50 ريال
صلصة طماطم لونا علب 400 جرام,SR 3.42 ريال
طحينة شبرا سايلة 500 جرام,SR 16.75 ريال
طحينة طعمة سائلة 500 جرام,SR 18.38 ريال
صلصة صوص شوب رايت بيتزا14اونز,SR 13.60 ريال
شطة بيدر حارة 473مل,SR 4.15 ريال
مايونيز قودي بالكاتشب 326مل,SR 12.75 ريال
طحينة هالي سائلة 1 كيلو,SR 20.95 ريال
خل الرمحين تفاح 500مل,SR 18.85 ريال
مايونيز هالي 946مل,SR 5.95 ريال
خردل فرشلي ضغاط 454 جرام,SR 6.50 ريال
صلصة فرشلي فرنسية 237مل,SR 8.35 ريال
