item,price
____ _______ _____ _____ 1_,SR 5.00 ____
___________ _____ _____300__,SR 3.00 ____
____ ___ ___ 200__,SR 1.50 ____
____ ______ _____ 330__,SR 3.15 ____
____ ____ _____ ____ 250__,SR 2.95 ____
_____ ______ ____ ______ 330__,SR 3.15 ____
____ ______ ______ 330__,SR 3.00 ____
____ __ ____ ______ ____ 700__,SR 18.95 ____
____ _________ ______ ___300__,SR 3.00 ____
____ _________ ______ ____300__,SR 3.00 ____
____ ______ ______ 27 * 250__,SR 44.95 ____
____ _________ ______ 24* 250__,SR 27.00 ____
____ ____ ____ 24* 250__,SR 21.50 ____
____ ____ _____ 250__,SR 0.95 ____
____ _______ ____ ____ 200__,SR 1.57 ____
____ ____ ______ _______ 1_,SR 5.20 ____
____ ____ ______ _______ 200__,SR 1.05 ____
____ ______ ______ ____ 1.75___,SR 8.40 ____
_____ ______ _____ ____ 1.75___,SR 8.00 ____
_____ ______ _____ ____ 1.57___,SR 7.95 ____
____ _______ ____ ____ 1.75___,SR 8.00 ____
_____ ______ ____+_____ 1.75___,SR 12.60 ____
____ ______ _____ _____ 1.75___,SR 12.60 ____
____ _____ ___ _ ____ 1___,SR 9.45 ____
____ _____ ______ ____ _______ 1___,SR 9.45 ____
____ ____ _____ 24* 125__,SR 14.25 ____
____ ____ ______ 250__,SR 0.95 ____
____ ____ _____ ____ 1.75_,SR 12.60 ____
____ _______ ______ ____ 1.75_,SR 8.40 ____
____ _______ ___ ____ 1.75_,SR 12.60 ____
____ ____ ____ ____1.75_,SR 12.60 ____
____ _______ _____ ______300__,SR 3.00 ____
____ _____ ______+___+______,SR 1.57 ____
____ ____ ______ 125__,SR 0.63 ____
____ ____ ____ 24* 125__,SR 14.25 ____
____ _____ ____ 250__,SR 0.95 ____
____ ____ ___ ______ ___ 180__,SR 1.58 ____
____ ______ ___ ____ 200__,SR 1.58 ____
____ ____ ______ ______ 180__,SR 1.58 ____
____ __ __ __ ____ ____ 1___,SR 7.30 ____
____ __ __ __ ____ ____ 200__,SR 1.15 ____
